,ticker,company,sector,price_to_book_ratio,price_to_sales_ratio,price_earnings_ratio,price_earnings_to_growth_ratio,dividend_yield,enterprise_value_multiple
359,OKE,ONEOK,Energy,5.013109354699386,3.070665708941836,24.411023505037242,8.765647810888051,0.046701822142192706,18.268451805354328
360,ORCL,Oracle Corp.,Information Technology,9.154644021115447,5.0481931858451885,17.994579085085267,17.096026247111073,0.014701611441022671,14.287524006320652
361,PCAR,PACCAR Inc.,Industrials,2.718415635528173,1.0306845002089868,11.049547300975753,1.7462019765425214,0.043152956803761376,7.980345744044056
362,PKG,Packaging Corporation of America,Materials,3.0427730380983395,1.3417509297416825,13.418087306145894,1.7054425329491665,0.03196581979539307,7.650045063498566
363,PH,Parker-Hannifin,Industrials,3.8550322472324163,1.6049624821337842,15.197123676575217,1.862357042218947,0.01794620118415209,11.340100434923157
364,PAYX,Paychex Inc.,Information Technology,11.284049627791564,7.835273161033798,28.575568445475643,10.99319287310148,0.02797158509167291,17.75585985748219
365,PAYC,Paycom,Information Technology,35.59061200695747,25.408363376085003,103.79570275119617,43.58942433197099,,69.19557113692885
366,PYPL,PayPal,Information Technology,8.14325614450696,7.736826468602296,55.91658397722652,31.913500043395207,,37.21147893142385
367,PNR,Pentair plc,Industrials,3.838138082808742,2.5359590152847287,21.083323025021084,10.28069925284563,0.01636144417013875,16.479879024390247
368,PBCT,People's United Financial,Financials,0.7783621904570163,57.542325581395346,11.88662567255957,10.00497866906317,0.04442432668369491,8.890035783099368
369,PEP,PepsiCo Inc.,Consumer Staples,13.448793453266601,2.960853173716889,27.18811320754717,3.039246534347462,0.026672854125134912,17.716958264560244
370,PKI,PerkinElmer,Health Care,3.8413764720181507,3.74832975514214,47.49979042705596,22.12552284381063,0.002873450149651854,21.101393186949856
371,PRGO,Perrigo,Health Care,1.3560632688927945,1.6269731674039771,53.8694045174538,55.92548865934135,0.014281503166326147,18.236253978890936
372,PFE,Pfizer Inc.,Health Care,3.2694491867665456,3.989233429951691,12.686218275671358,6.334578102502806,0.03959449693651264,10.237836822556137
373,PM,Philip Morris International,Consumer Staples,-11.327040684115055,4.399703069954705,18.250960334029227,3.587440692632467,0.05460861727183401,13.482309699869509
374,PSX,Phillips 66,Energy,1.7469290742673624,0.40558100938551445,14.146945136540962,1.14127287660584,0.03607868101629455,12.149649816617615
375,PNW,Pinnacle West Capital,Utilities,2.0452659682601415,3.199784150133282,20.632931230494872,4.539756003558449,0.029678531757298437,11.505496172077528
376,PXD,Pioneer Natural Resources,Energy,1.8951654426932913,2.4685629836629404,30.380304232804235,5.18763886183876,0.005529550221160239,8.772892768079801
377,PNC,PNC Financial Services,Financials,1.3297288803218237,3.7044886761615694,11.871548821548823,1.0289556977845769,0.025226383551326472,11.28136826783115
378,PPG,PPG Industries,Materials,5.519447199091597,1.9255750033012016,23.46320112630732,4.1449905643715175,0.01604676383576494,15.03580064456722
379,PPL,PPL Corp.,Utilities,2.045172245400662,3.419852315613335,15.21697172966781,6.067732079213878,0.04486459816098266,11.564765203883494
380,PFG,Principal Financial Group,Financials,1.0373647557805445,0.9347863716781428,10.876630325634771,1.959411062865727,0.03996254862934393,8.26932242521582
381,PG,Procter & Gamble,Consumer Staples,6.33595653544631,4.453910466284499,77.35655016679496,19.863575281803882,0.024872413937367614,39.382923354590304
382,PGR,Progressive Corp.,Financials,3.491306058567124,1.2233345036043493,12.023606780344053,2.6839680489293234,0.03442170179368656,8.74475456001178
383,PLD,Prologis,Real Estate,2.6781336545722803,18.215252290789014,38.569410772944494,14.745770662216056,0.022180684083971128,23.02201323831905
384,PRU,Prudential Financial,Financials,0.5971786104729462,0.5815872976684617,9.004043956043954,0.8946580739829634,0.04353832837440352,7.564098827772768
385,PEG,Public Serv. Enterprise Inc.,Utilities,2.0041089535423158,3.001190948789202,17.861783815711753,6.260319223309265,0.03141534391534392,13.0
386,PSA,Public Storage,Real Estate,4.052259896893221,13.41711626268934,21.5977939499635,2.6052574721288124,1.900174797084996E-4,17.315552549569908
387,PHM,PulteGroup,Consumer Discretionary,1.5786438572770625,0.7464973370024983,7.441673974069077,4.718684995155774,0.01367683289506723,9.213620358168168
388,PVH,PVH Corp.,Consumer Discretionary,0.9183869913103331,0.538622060752851,12.789853822190272,1.2714458113699334,,8.545615864022665
389,QRVO,Qorvo,Information Technology,2.0035453894656006,2.826503607225777,65.61363200000001,68.485514666667,-0,10.215119053439038
390,PWR,Quanta Services Inc.,Industrials,1.436848849416289,0.48048083606605696,14.47517535394136,7.1900683862155805,0.003992674895261017,8.410620312766957
391,QCOM,QUALCOMM Inc.,Information Technology,20.128050519454064,4.070720553701644,22.528180574555403,-5.604255447206421,,11.34788266431407
392,DGX,Quest Diagnostics,Health Care,2.6605211841872007,1.9425317111053586,17.49184149184149,3.1846559237863583,0.019056503198294245,11.914102564102564
393,RL,Ralph Lauren Corporation,Consumer Discretionary,3.0690867607690433,1.5980836369396483,23.413093525179857,11.591494705955137,0.01890233252999246,12.090738939627565
394,RJF,Raymond James Financial Inc.,Financials,1.6480352530010638,1.351828493082388,10.48909090909091,1.7263574763268357,0.01761063350335432,8.227667844522967
395,RTX,Raytheon Technologies,Industrials,1.9832243979508786,1.5340940671061403,14.96247354162904,2.427390849000665,0.029475945214622542,9.157833241822889
396,O,Realty Income Corporation,Real Estate,2.4177568582481674,14.728160698142393,53.78398918936014,48.82891914699682,0.0389424314195708,22.315441075230172
397,REG,Regency Centers Corporation,Real Estate,1.6821763628884137,9.223896065616016,43.6534567096855,29.35486313706171,0.03737083576563132,26.287195240204014
398,REGN,Regeneron Pharmaceuticals,Health Care,3.3103560961973724,4.6685728819594585,17.350815767085734,0.7751223538560638,,15.0514259741333
399,RF,Regions Financial Corp.,Financials,0.95317275237803,287.6287037037037,9.8179203539823,5.553627488466395,0.03714923110105299,9.918270427208627
400,RSG,Republic Services Inc,Industrials,3.7859232760956862,2.984142992795697,28.636246387263043,8.866731339632151,0.015981840911774903,13.533228739345615
401,RMD,ResMed,Health Care,8.993329491992299,7.149587435144703,46.061005704512205,20.887475402671985,0.011360429932689077,27.06584876818006
402,RHI,Robert Half International,Industrials,6.1312647647993375,1.1543833695068115,15.430708773350528,4.1093791536736655,0.02076816356024533,9.704305749866142
403,ROK,Rockwell Automation Inc.,Industrials,51.27699158832261,3.0958594730238396,29.78752515090543,6.580512092160808,0.022184524292005854,20.855165210786176
404,ROL,Rollins Inc.,Industrials,15.343145498007967,6.210029159350367,61.55080202806041,87.00773103923864,0.012290979464682831,37.05170159434582
405,ROP,Roper Technologies,Industrials,4.262221683751409,7.538306253260789,22.88397646925731,2.5176251113467116,0.004738413146221794,23.42830930946558
406,ROST,Ross Stores,Consumer Discretionary,11.949270435147858,2.5026742355995264,24.167558593749998,5.457251055387839,0.009212449054628334,15.770887408813973
407,RCL,Royal Caribbean Cruises Ltd,Consumer Discretionary,2.051210262773797,3.175566341188565,13.27946052636481,1.5354615914613925,0.024154684100204663,10.114565315515183
408,SPGI,"S&P Global, Inc.",Financials,153.6234739039666,10.984571428571428,34.66116062176166,4.344151591716196,0.007610180050880576,21.90339475218659
